,active
2011-04-18 09:00:00-04:00,80.55126
2011-04-18 10:00:00-04:00,80.80652
2011-04-18 11:00:00-04:00,80.97893
2011-04-18 12:00:00-04:00,47.631298
2011-04-18 13:00:00-04:00,1.5812155
2011-04-18 14:00:00-04:00,1.7635524
2011-04-18 15:00:00-04:00,1.5497267
2011-04-18 16:00:00-04:00,1.585443
2011-04-18 17:00:00-04:00,1.4260042
2011-04-18 18:00:00-04:00,5.821353
2011-04-18 19:00:00-04:00,1.0578947
2011-04-18 20:00:00-04:00,2.5934427
2011-04-18 21:00:00-04:00,1.4017094
2011-04-18 22:00:00-04:00,16.423765
2011-04-18 23:00:00-04:00,81.67196
2011-04-19 00:00:00-04:00,82.454735
2011-04-19 01:00:00-04:00,82.22
2011-04-19 02:00:00-04:00,82.18421
2011-04-19 03:00:00-04:00,82.22047
2011-04-19 04:00:00-04:00,82.07587
2011-04-19 05:00:00-04:00,82.14722
2011-04-19 06:00:00-04:00,88.41789
2011-04-19 07:00:00-04:00,158.0444
2011-04-19 08:00:00-04:00,1.7378948
2011-04-19 09:00:00-04:00,1.7605485
2011-04-19 10:00:00-04:00,1.6652632
2011-04-19 11:00:00-04:00,1.8915789
2011-04-19 12:00:00-04:00,1.72293
2011-04-19 13:00:00-04:00,1.6663158
2011-04-19 14:00:00-04:00,1.7073684
2011-04-19 15:00:00-04:00,1.6031579
2011-04-19 16:00:00-04:00,1.3431579
2011-04-19 17:00:00-04:00,1.4012672
2011-04-19 18:00:00-04:00,76.09078
2011-04-19 19:00:00-04:00,
2011-04-19 20:00:00-04:00,80.36133
2011-04-19 21:00:00-04:00,80.83316
2011-04-19 22:00:00-04:00,80.8379
2011-04-19 23:00:00-04:00,81.09062
2011-04-20 00:00:00-04:00,81.88737
2011-04-20 01:00:00-04:00,82.01393
2011-04-20 02:00:00-04:00,82.19403
2011-04-20 03:00:00-04:00,82.1388
2011-04-20 04:00:00-04:00,82.14
2011-04-20 05:00:00-04:00,81.84842
2011-04-20 06:00:00-04:00,81.01591
2011-04-20 07:00:00-04:00,80.55637
2011-04-20 08:00:00-04:00,27.361904
2011-04-20 09:00:00-04:00,1.6659218
2011-04-20 10:00:00-04:00,1.7142857
2011-04-20 11:00:00-04:00,1.679558
2011-04-20 12:00:00-04:00,1.6824697
2011-04-20 13:00:00-04:00,1.683223
2011-04-20 14:00:00-04:00,1.6986755
2011-04-20 15:00:00-04:00,1.6677741
2011-04-20 16:00:00-04:00,1.6337403
2011-04-20 17:00:00-04:00,1.5926316
2011-04-20 18:00:00-04:00,14.6898
2011-04-20 19:00:00-04:00,80.51055
2011-04-20 20:00:00-04:00,80.19053
2011-04-20 21:00:00-04:00,80.59579
2011-04-20 22:00:00-04:00,80.627365
2011-04-20 23:00:00-04:00,81.27684
2011-04-21 00:00:00-04:00,81.375786
2011-04-21 01:00:00-04:00,81.31684
2011-04-21 02:00:00-04:00,81.735016
2011-04-21 03:00:00-04:00,81.68598
2011-04-21 04:00:00-04:00,81.52366
2011-04-21 05:00:00-04:00,81.52842
2011-04-21 06:00:00-04:00,88.71875
2011-04-21 07:00:00-04:00,79.78261
2011-04-21 08:00:00-04:00,3.677072
2011-04-21 09:00:00-04:00,1.8161683
2011-04-21 10:00:00-04:00,1.7486033
2011-04-21 11:00:00-04:00,1.8423374
2011-04-21 12:00:00-04:00,1.7924945
2011-04-21 13:00:00-04:00,1.738699
2011-04-21 14:00:00-04:00,1.6097023
2011-04-21 15:00:00-04:00,1.5197803
2011-04-21 16:00:00-04:00,1.6747519
2011-04-21 17:00:00-04:00,1.04769
2011-04-21 18:00:00-04:00,
2011-04-21 19:00:00-04:00,1.5612245
2011-04-21 20:00:00-04:00,72.67125
2011-04-21 21:00:00-04:00,80.091576
2011-04-21 22:00:00-04:00,80.86751
2011-04-21 23:00:00-04:00,81.04421
2011-04-22 00:00:00-04:00,81.44316
2011-04-22 01:00:00-04:00,81.26421
2011-04-22 02:00:00-04:00,81.63684
2011-04-22 03:00:00-04:00,81.61053
2011-04-22 04:00:00-04:00,81.24947
2011-04-22 05:00:00-04:00,81.02737
2011-04-22 06:00:00-04:00,64.42144
2011-04-22 07:00:00-04:00,74.16
2011-04-22 08:00:00-04:00,79.28526
2011-04-22 09:00:00-04:00,80.57973
2011-04-22 10:00:00-04:00,1.7633588
2011-04-22 11:00:00-04:00,1.7626932
2011-04-22 12:00:00-04:00,1.7900553
2011-04-22 13:00:00-04:00,1.7393736
2011-04-22 14:00:00-04:00,1.7621682
2011-04-22 15:00:00-04:00,1.2764317
2011-04-22 16:00:00-04:00,1.4028697
2011-04-22 17:00:00-04:00,1.5993377
2011-04-22 18:00:00-04:00,1.7265711
2011-04-22 19:00:00-04:00,1.7730812
2011-04-22 20:00:00-04:00,40.120983
2011-04-22 21:00:00-04:00,81.872635
2011-04-22 22:00:00-04:00,81.86688
2011-04-22 23:00:00-04:00,82.18717
2011-04-23 00:00:00-04:00,82.70179
2011-04-23 01:00:00-04:00,83.016846
2011-04-23 02:00:00-04:00,83.088425
2011-04-23 03:00:00-04:00,83.14105
2011-04-23 04:00:00-04:00,83.16438
2011-04-23 05:00:00-04:00,82.8421
2011-04-23 06:00:00-04:00,39.844753
2011-04-23 07:00:00-04:00,1.6953642
2011-04-23 08:00:00-04:00,136.2796
2011-04-23 09:00:00-04:00,28.863636
2011-04-23 10:00:00-04:00,1.7505263
2011-04-23 11:00:00-04:00,1.4257113
2011-04-23 12:00:00-04:00,1.9578378
2011-04-23 13:00:00-04:00,1.3978494
2011-04-23 14:00:00-04:00,1.3628691
2011-04-23 15:00:00-04:00,1.8324265
2011-04-23 16:00:00-04:00,1.791438
2011-04-23 17:00:00-04:00,2.0406418
2011-04-23 18:00:00-04:00,1.8291347
2011-04-23 19:00:00-04:00,1.819582
2011-04-23 20:00:00-04:00,1.7466667
2011-04-23 21:00:00-04:00,1.8187773
2011-04-23 22:00:00-04:00,1.7357223
2011-04-23 23:00:00-04:00,16.513369
2011-04-24 00:00:00-04:00,82.39684
2011-04-24 01:00:00-04:00,85.08746
2011-04-24 02:00:00-04:00,82.77789
2011-04-24 03:00:00-04:00,82.84485
2011-04-24 04:00:00-04:00,83.06
2011-04-24 05:00:00-04:00,82.79663
2011-04-24 06:00:00-04:00,82.505264
2011-04-24 07:00:00-04:00,81.83983
2011-04-24 08:00:00-04:00,134.39552
2011-04-24 09:00:00-04:00,103.82159
2011-04-24 10:00:00-04:00,1.0583614
2011-04-24 11:00:00-04:00,55.259575
2011-04-24 12:00:00-04:00,65.650795
2011-04-24 13:00:00-04:00,1.7904762
2011-04-24 14:00:00-04:00,1.539195
2011-04-24 15:00:00-04:00,1.7273685
2011-04-24 16:00:00-04:00,1.4068522
2011-04-24 17:00:00-04:00,42.099464
2011-04-24 18:00:00-04:00,85.66631
2011-04-24 19:00:00-04:00,79.459915
2011-04-24 20:00:00-04:00,79.702354
2011-04-24 21:00:00-04:00,80.02526
2011-04-24 22:00:00-04:00,80.86512
2011-04-24 23:00:00-04:00,81.1693
2011-04-25 00:00:00-04:00,81.92097
2011-04-25 01:00:00-04:00,82.2021
2011-04-25 02:00:00-04:00,81.96207
2011-04-25 03:00:00-04:00,82.21474
2011-04-25 04:00:00-04:00,82.261055
2011-04-25 05:00:00-04:00,82.08632
2011-04-25 06:00:00-04:00,90.73785
2011-04-25 07:00:00-04:00,183.36403
2011-04-25 08:00:00-04:00,30.805616
2011-04-25 09:00:00-04:00,1.8464125
2011-04-25 10:00:00-04:00,1.8884026
2011-04-25 11:00:00-04:00,1.4142857
2011-04-25 12:00:00-04:00,1.5939933
2011-04-25 13:00:00-04:00,1.8885245
2011-04-25 14:00:00-04:00,1.8854625
2011-04-25 15:00:00-04:00,1.8873085
2011-04-25 16:00:00-04:00,1.7274749
2011-04-25 17:00:00-04:00,1.471579
2011-04-25 18:00:00-04:00,1.3842105
2011-04-25 19:00:00-04:00,1.3541888
2011-04-25 20:00:00-04:00,2.6613076
2011-04-25 21:00:00-04:00,2.740458
2011-04-25 22:00:00-04:00,40.62803
2011-04-25 23:00:00-04:00,83.656845
2011-04-26 00:00:00-04:00,81.33614
2011-04-26 01:00:00-04:00,81.408424
2011-04-26 02:00:00-04:00,81.46316
2011-04-26 03:00:00-04:00,81.509476
2011-04-26 04:00:00-04:00,81.49368
2011-04-26 05:00:00-04:00,81.516335
2011-04-26 06:00:00-04:00,86.170525
2011-04-26 07:00:00-04:00,152.95421
2011-04-26 08:00:00-04:00,1.7264957
2011-04-26 09:00:00-04:00,86.753845
2011-04-26 10:00:00-04:00,11.389361
2011-04-26 11:00:00-04:00,1.2994709
2011-04-26 12:00:00-04:00,1.7670773
2011-04-26 13:00:00-04:00,1.9084967
2011-04-26 14:00:00-04:00,1.8792536
2011-04-26 15:00:00-04:00,1.8125701
2011-04-26 16:00:00-04:00,1.9159389
2011-04-26 17:00:00-04:00,1.9312638
2011-04-26 18:00:00-04:00,2.140257
2011-04-26 19:00:00-04:00,8.203157
2011-04-26 20:00:00-04:00,1.8082192
2011-04-26 21:00:00-04:00,1.7242105
2011-04-26 22:00:00-04:00,80.186516
2011-04-26 23:00:00-04:00,81.663155
2011-04-27 00:00:00-04:00,82.15385
2011-04-27 01:00:00-04:00,82.59579
2011-04-27 02:00:00-04:00,82.439316
2011-04-27 03:00:00-04:00,82.479095
2011-04-27 04:00:00-04:00,82.052635
2011-04-27 05:00:00-04:00,82.33474
2011-04-27 06:00:00-04:00,88.87751
2011-04-27 07:00:00-04:00,80.18479
2011-04-27 08:00:00-04:00,50.28312
2011-04-27 09:00:00-04:00,1.7914798
2011-04-27 10:00:00-04:00,1.8994535
2011-04-27 11:00:00-04:00,1.8761061
2011-04-27 12:00:00-04:00,1.8394241
2011-04-27 13:00:00-04:00,1.906011
2011-04-27 14:00:00-04:00,1.8239911
2011-04-27 15:00:00-04:00,1.919214
2011-04-27 16:00:00-04:00,1.8883928
2011-04-27 17:00:00-04:00,1.9265351
2011-04-27 18:00:00-04:00,5.0243387
2011-04-27 19:00:00-04:00,4.497895
2011-04-27 20:00:00-04:00,1.76551
2011-04-27 21:00:00-04:00,59.207806
2011-04-27 22:00:00-04:00,81.100945
2011-04-27 23:00:00-04:00,81.476845
2011-04-28 00:00:00-04:00,81.41579
2011-04-28 01:00:00-04:00,82.14842
2011-04-28 02:00:00-04:00,82.425865
2011-04-28 03:00:00-04:00,82.05684
2011-04-28 04:00:00-04:00,81.81368
2011-04-28 05:00:00-04:00,81.49737
2011-04-28 06:00:00-04:00,83.613106
2011-04-28 07:00:00-04:00,51.926983
2011-04-28 08:00:00-04:00,1.9199561
2011-04-28 09:00:00-04:00,2.2430408
2011-04-28 10:00:00-04:00,1.9162996
2011-04-28 11:00:00-04:00,1.941048
2011-04-28 12:00:00-04:00,1.9040178
2011-04-28 13:00:00-04:00,1.9242591
2011-04-28 14:00:00-04:00,1.9824945
2011-04-28 15:00:00-04:00,1.9022472
2011-04-28 16:00:00-04:00,1.9354485
2011-04-28 17:00:00-04:00,1.9452355
2011-04-28 18:00:00-04:00,1.7662624
2011-04-28 19:00:00-04:00,1.1891025
2011-04-28 20:00:00-04:00,40.626453
2011-04-28 21:00:00-04:00,80.746315
2011-04-28 22:00:00-04:00,80.13895
2011-04-28 23:00:00-04:00,81.52263
2011-04-29 00:00:00-04:00,81.724976
2011-04-29 01:00:00-04:00,81.76947
2011-04-29 02:00:00-04:00,82.00421
2011-04-29 03:00:00-04:00,82.15353
2011-04-29 04:00:00-04:00,82.108536
2011-04-29 05:00:00-04:00,81.75895
2011-04-29 06:00:00-04:00,81.14878
2011-04-29 07:00:00-04:00,48.51579
2011-04-29 08:00:00-04:00,98.68777
2011-04-29 09:00:00-04:00,1.5341152
2011-04-29 10:00:00-04:00,1.6608123
2011-04-29 11:00:00-04:00,1.8569857
2011-04-29 12:00:00-04:00,1.8097887
2011-04-29 13:00:00-04:00,1.8250277
2011-04-29 14:00:00-04:00,1.867033
2011-04-29 15:00:00-04:00,1.8590308
2011-04-29 16:00:00-04:00,1.8967032
2011-04-29 17:00:00-04:00,1.7678572
2011-04-29 18:00:00-04:00,1.5294737
2011-04-29 19:00:00-04:00,2.9165788
2011-04-29 20:00:00-04:00,15.93796
2011-04-29 21:00:00-04:00,81.401474
2011-04-29 22:00:00-04:00,81.12618
2011-04-29 23:00:00-04:00,79.178085
2011-04-30 00:00:00-04:00,79.54135
2011-04-30 01:00:00-04:00,81.890526
2011-04-30 02:00:00-04:00,82.30421
2011-04-30 03:00:00-04:00,82.46421
2011-04-30 04:00:00-04:00,82.20526
2011-04-30 05:00:00-04:00,82.59115
2011-04-30 06:00:00-04:00,82.0621
2011-04-30 07:00:00-04:00,13.353503
2011-04-30 08:00:00-04:00,95.86091
2011-04-30 09:00:00-04:00,7.7363343
2011-04-30 10:00:00-04:00,21.582155
2011-04-30 11:00:00-04:00,1.6609626
2011-04-30 12:00:00-04:00,1.4599156
2011-04-30 13:00:00-04:00,1.4973376
2011-04-30 14:00:00-04:00,1.7207792
2011-04-30 15:00:00-04:00,1.3787234
2011-04-30 16:00:00-04:00,1.7536842
2011-04-30 17:00:00-04:00,1.5784851
2011-04-30 18:00:00-04:00,1.5544769
2011-04-30 19:00:00-04:00,1.7629083
2011-04-30 20:00:00-04:00,1.8675079
2011-04-30 21:00:00-04:00,1.7978947
2011-04-30 22:00:00-04:00,73.32804
2011-04-30 23:00:00-04:00,78.09913
2011-05-01 00:00:00-04:00,81.23174
2011-05-01 01:00:00-04:00,82.48577
2011-05-01 02:00:00-04:00,82.801056
2011-05-01 03:00:00-04:00,82.91789
2011-05-01 04:00:00-04:00,82.94527
2011-05-01 05:00:00-04:00,78.79263
2011-05-01 06:00:00-04:00,173.5564
2011-05-01 07:00:00-04:00,0.032665964
2011-05-01 08:00:00-04:00,0.12421053
2011-05-01 09:00:00-04:00,0.016629713
2011-05-01 10:00:00-04:00,0.098726116
2011-05-01 11:00:00-04:00,0.46995708
2011-05-01 12:00:00-04:00,0.112445414
2011-05-01 13:00:00-04:00,0.110021785
2011-05-01 14:00:00-04:00,0.004405286
2011-05-01 15:00:00-04:00,0.05824176
2011-05-01 16:00:00-04:00,25.11674
2011-05-01 17:00:00-04:00,66.03277
2011-05-01 18:00:00-04:00,39.607677
2011-05-01 19:00:00-04:00,79.12408
2011-05-01 20:00:00-04:00,78.598946
2011-05-01 21:00:00-04:00,79.04632
2011-05-01 22:00:00-04:00,79.985275
2011-05-01 23:00:00-04:00,80.0621
2011-05-02 00:00:00-04:00,80.46421
2011-05-02 01:00:00-04:00,81.03158
2011-05-02 02:00:00-04:00,80.944214
2011-05-02 03:00:00-04:00,80.87369
2011-05-02 04:00:00-04:00,80.682106
2011-05-02 05:00:00-04:00,80.42842
2011-05-02 06:00:00-04:00,80.023155
2011-05-02 07:00:00-04:00,35.90743
2011-05-02 08:00:00-04:00,0.074972436
2011-05-02 09:00:00-04:00,0.10792951
2011-05-02 10:00:00-04:00,0.06277533
2011-05-02 11:00:00-04:00,0.0
2011-05-02 12:00:00-04:00,0.12061404
2011-05-02 13:00:00-04:00,0.09040794
2011-05-02 14:00:00-04:00,0.014557671
2011-05-02 15:00:00-04:00,0.11978022
2011-05-02 16:00:00-04:00,0.102649
2011-05-02 17:00:00-04:00,0.13940091
2011-05-02 18:00:00-04:00,0.010067114
2011-05-02 19:00:00-04:00,0.11978022
2011-05-02 20:00:00-04:00,49.157616
2011-05-02 21:00:00-04:00,78.93923
2011-05-02 22:00:00-04:00,79.8811
2011-05-02 23:00:00-04:00,80.35238
2011-05-03 00:00:00-04:00,80.607025
2011-05-03 01:00:00-04:00,80.93737
2011-05-03 02:00:00-04:00,80.957535
2011-05-03 03:00:00-04:00,80.91614
2011-05-03 04:00:00-04:00,81.38543
2011-05-03 05:00:00-04:00,80.450584
2011-05-03 06:00:00-04:00,85.31601
2011-05-03 07:00:00-04:00,47.630737
2011-05-03 08:00:00-04:00,78.05169
2011-05-03 09:00:00-04:00,79.37566
2011-05-03 10:00:00-04:00,79.608696
2011-05-03 11:00:00-04:00,79.6193
2011-05-03 12:00:00-04:00,79.41295
2011-05-03 13:00:00-04:00,79.5271
2011-05-03 14:00:00-04:00,79.95864
2011-05-03 15:00:00-04:00,79.865326
2011-05-03 16:00:00-04:00,80.107216
2011-05-03 17:00:00-04:00,80.00417
2011-05-03 18:00:00-04:00,
2011-05-03 19:00:00-04:00,
2011-05-03 20:00:00-04:00,
2011-05-03 21:00:00-04:00,
2011-05-03 22:00:00-04:00,
2011-05-03 23:00:00-04:00,
2011-05-04 00:00:00-04:00,
2011-05-04 01:00:00-04:00,
2011-05-04 02:00:00-04:00,
2011-05-04 03:00:00-04:00,
2011-05-04 04:00:00-04:00,
2011-05-04 05:00:00-04:00,
2011-05-04 06:00:00-04:00,
2011-05-04 07:00:00-04:00,
2011-05-04 08:00:00-04:00,
2011-05-04 09:00:00-04:00,
2011-05-04 10:00:00-04:00,
2011-05-04 11:00:00-04:00,
2011-05-04 12:00:00-04:00,
2011-05-04 13:00:00-04:00,
2011-05-04 14:00:00-04:00,
2011-05-04 15:00:00-04:00,
2011-05-04 16:00:00-04:00,
2011-05-04 17:00:00-04:00,
2011-05-04 18:00:00-04:00,
2011-05-04 19:00:00-04:00,
2011-05-04 20:00:00-04:00,
2011-05-04 21:00:00-04:00,
2011-05-04 22:00:00-04:00,
2011-05-04 23:00:00-04:00,
2011-05-05 00:00:00-04:00,
2011-05-05 01:00:00-04:00,
2011-05-05 02:00:00-04:00,
2011-05-05 03:00:00-04:00,
2011-05-05 04:00:00-04:00,
2011-05-05 05:00:00-04:00,
2011-05-05 06:00:00-04:00,
2011-05-05 07:00:00-04:00,
2011-05-05 08:00:00-04:00,
2011-05-05 09:00:00-04:00,
2011-05-05 10:00:00-04:00,
2011-05-05 11:00:00-04:00,
2011-05-05 12:00:00-04:00,
2011-05-05 13:00:00-04:00,
2011-05-05 14:00:00-04:00,
2011-05-05 15:00:00-04:00,
2011-05-05 16:00:00-04:00,
2011-05-05 17:00:00-04:00,
2011-05-05 18:00:00-04:00,
2011-05-05 19:00:00-04:00,
2011-05-05 20:00:00-04:00,
2011-05-05 21:00:00-04:00,
2011-05-05 22:00:00-04:00,
2011-05-05 23:00:00-04:00,
2011-05-06 00:00:00-04:00,
2011-05-06 01:00:00-04:00,
2011-05-06 02:00:00-04:00,
2011-05-06 03:00:00-04:00,
2011-05-06 04:00:00-04:00,
2011-05-06 05:00:00-04:00,
2011-05-06 06:00:00-04:00,
2011-05-06 07:00:00-04:00,
2011-05-06 08:00:00-04:00,
2011-05-06 09:00:00-04:00,
2011-05-06 10:00:00-04:00,79.016525
2011-05-06 11:00:00-04:00,79.15579
2011-05-06 12:00:00-04:00,80.02002
2011-05-06 13:00:00-04:00,79.99579
2011-05-06 14:00:00-04:00,80.26449
2011-05-06 15:00:00-04:00,80.25185
2011-05-06 16:00:00-04:00,79.96312
2011-05-06 17:00:00-04:00,80.19369
2011-05-06 18:00:00-04:00,79.95469
2011-05-06 19:00:00-04:00,79.83053
2011-05-06 20:00:00-04:00,79.32737
2011-05-06 21:00:00-04:00,78.976845
2011-05-06 22:00:00-04:00,79.34737
2011-05-06 23:00:00-04:00,79.93256
2011-05-07 00:00:00-04:00,80.46421
2011-05-07 01:00:00-04:00,80.68763
2011-05-07 02:00:00-04:00,80.98117
2011-05-07 03:00:00-04:00,81.21451
2011-05-07 04:00:00-04:00,81.23158
2011-05-07 05:00:00-04:00,81.34421
2011-05-07 06:00:00-04:00,80.66526
2011-05-07 07:00:00-04:00,79.69231
2011-05-07 08:00:00-04:00,44.375134
2011-05-07 09:00:00-04:00,0.0664488
2011-05-07 10:00:00-04:00,0.054054055
2011-05-07 11:00:00-04:00,0.05206074
2011-05-07 12:00:00-04:00,0.040133778
2011-05-07 13:00:00-04:00,4.0473566
2011-05-07 14:00:00-04:00,0.09801762
2011-05-07 15:00:00-04:00,0.07268722
2011-05-07 16:00:00-04:00,0.047722343
2011-05-07 17:00:00-04:00,0.0
2011-05-07 18:00:00-04:00,0.06631579
2011-05-07 19:00:00-04:00,0.075789474
2011-05-07 20:00:00-04:00,0.043157894
2011-05-07 21:00:00-04:00,2.368421
2011-05-07 22:00:00-04:00,54.40842
2011-05-07 23:00:00-04:00,80.97579
2011-05-08 00:00:00-04:00,81.91263
2011-05-08 01:00:00-04:00,82.08947
2011-05-08 02:00:00-04:00,82.45579
2011-05-08 03:00:00-04:00,82.255005
2011-05-08 04:00:00-04:00,82.01789
2011-05-08 05:00:00-04:00,82.590096
2011-05-08 06:00:00-04:00,74.73122
2011-05-08 07:00:00-04:00,134.46294
2011-05-08 08:00:00-04:00,213.88713
2011-05-08 09:00:00-04:00,1.6473073
2011-05-08 10:00:00-04:00,1.575532
2011-05-08 11:00:00-04:00,1.5801687
2011-05-08 12:00:00-04:00,1.5869797
2011-05-08 13:00:00-04:00,1.863029
2011-05-08 14:00:00-04:00,1.8182819
2011-05-08 15:00:00-04:00,1.8283828
2011-05-08 16:00:00-04:00,1.567213
2011-05-08 17:00:00-04:00,1.887912
2011-05-08 18:00:00-04:00,1.8314732
2011-05-08 19:00:00-04:00,75.5
2011-05-08 20:00:00-04:00,60.928112
2011-05-08 21:00:00-04:00,37.9145
2011-05-08 22:00:00-04:00,40.708378
2011-05-08 23:00:00-04:00,41.870525
