,active
2011-04-18 09:00:00-04:00,4.4739494
2011-04-18 10:00:00-04:00,28.86225
2011-04-18 11:00:00-04:00,79.34352
2011-04-18 12:00:00-04:00,4.0
2011-04-18 13:00:00-04:00,4.0
2011-04-18 14:00:00-04:00,29.907728
2011-04-18 15:00:00-04:00,4.3005466
2011-04-18 16:00:00-04:00,79.1308
2011-04-18 17:00:00-04:00,4.20296
2011-04-18 18:00:00-04:00,54.54017
2011-04-18 19:00:00-04:00,235.21895
2011-04-18 20:00:00-04:00,21.515846
2011-04-18 21:00:00-04:00,4.0908117
2011-04-18 22:00:00-04:00,4.2565722
2011-04-18 23:00:00-04:00,4.3830686
2011-04-19 00:00:00-04:00,4.0
2011-04-19 01:00:00-04:00,4.0
2011-04-19 02:00:00-04:00,4.0
2011-04-19 03:00:00-04:00,4.0
2011-04-19 04:00:00-04:00,4.0
2011-04-19 05:00:00-04:00,4.0
2011-04-19 06:00:00-04:00,4.0
2011-04-19 07:00:00-04:00,103.56448
2011-04-19 08:00:00-04:00,4.305263
2011-04-19 09:00:00-04:00,58.197258
2011-04-19 10:00:00-04:00,4.1957893
2011-04-19 11:00:00-04:00,7.6484213
2011-04-19 12:00:00-04:00,4.377919
2011-04-19 13:00:00-04:00,4.276842
2011-04-19 14:00:00-04:00,4.3421054
2011-04-19 15:00:00-04:00,4.385263
2011-04-19 16:00:00-04:00,4.366316
2011-04-19 17:00:00-04:00,94.12144
2011-04-19 18:00:00-04:00,4.342179
2011-04-19 19:00:00-04:00,
2011-04-19 20:00:00-04:00,27.19493
2011-04-19 21:00:00-04:00,82.979935
2011-04-19 22:00:00-04:00,4.0
2011-04-19 23:00:00-04:00,4.0
2011-04-20 00:00:00-04:00,4.0
2011-04-20 01:00:00-04:00,4.0
2011-04-20 02:00:00-04:00,4.0
2011-04-20 03:00:00-04:00,4.0
2011-04-20 04:00:00-04:00,4.0
2011-04-20 05:00:00-04:00,4.0
2011-04-20 06:00:00-04:00,29.255568
2011-04-20 07:00:00-04:00,77.30664
2011-04-20 08:00:00-04:00,63.01164
2011-04-20 09:00:00-04:00,4.0
2011-04-20 10:00:00-04:00,4.0
2011-04-20 11:00:00-04:00,4.0
2011-04-20 12:00:00-04:00,4.0
2011-04-20 13:00:00-04:00,4.0
2011-04-20 14:00:00-04:00,4.0
2011-04-20 15:00:00-04:00,4.0
2011-04-20 16:00:00-04:00,4.0
2011-04-20 17:00:00-04:00,243.87369
2011-04-20 18:00:00-04:00,4.194532
2011-04-20 19:00:00-04:00,75.945145
2011-04-20 20:00:00-04:00,4.0136843
2011-04-20 21:00:00-04:00,3.9989474
2011-04-20 22:00:00-04:00,4.0
2011-04-20 23:00:00-04:00,4.0
2011-04-21 00:00:00-04:00,4.0
2011-04-21 01:00:00-04:00,4.0
2011-04-21 02:00:00-04:00,4.0
2011-04-21 03:00:00-04:00,4.0
2011-04-21 04:00:00-04:00,4.0
2011-04-21 05:00:00-04:00,4.0
2011-04-21 06:00:00-04:00,4.127232
2011-04-21 07:00:00-04:00,75.04984
2011-04-21 08:00:00-04:00,61.052746
2011-04-21 09:00:00-04:00,4.0
2011-04-21 10:00:00-04:00,4.0
2011-04-21 11:00:00-04:00,4.0
2011-04-21 12:00:00-04:00,4.0
2011-04-21 13:00:00-04:00,21.880926
2011-04-21 14:00:00-04:00,4.0
2011-04-21 15:00:00-04:00,83.7
2011-04-21 16:00:00-04:00,24.610806
2011-04-21 17:00:00-04:00,4.0
2011-04-21 18:00:00-04:00,
2011-04-21 19:00:00-04:00,4.0
2011-04-21 20:00:00-04:00,75.60148
2011-04-21 21:00:00-04:00,4.008421
2011-04-21 22:00:00-04:00,4.0
2011-04-21 23:00:00-04:00,4.0
2011-04-22 00:00:00-04:00,4.0
2011-04-22 01:00:00-04:00,4.0
2011-04-22 02:00:00-04:00,4.0
2011-04-22 03:00:00-04:00,4.0
2011-04-22 04:00:00-04:00,4.0
2011-04-22 05:00:00-04:00,4.0
2011-04-22 06:00:00-04:00,4.0
2011-04-22 07:00:00-04:00,3.9263158
2011-04-22 08:00:00-04:00,29.254736
2011-04-22 09:00:00-04:00,4.5132
2011-04-22 10:00:00-04:00,30.122137
2011-04-22 11:00:00-04:00,4.0
2011-04-22 12:00:00-04:00,4.0
2011-04-22 13:00:00-04:00,4.0
2011-04-22 14:00:00-04:00,4.0
2011-04-22 15:00:00-04:00,3.9559472
2011-04-22 16:00:00-04:00,4.0
2011-04-22 17:00:00-04:00,4.0
2011-04-22 18:00:00-04:00,4.0
2011-04-22 19:00:00-04:00,4.0
2011-04-22 20:00:00-04:00,4.3736615
2011-04-22 21:00:00-04:00,4.483158
2011-04-22 22:00:00-04:00,4.0
2011-04-22 23:00:00-04:00,4.0
2011-04-23 00:00:00-04:00,4.0
2011-04-23 01:00:00-04:00,4.0
2011-04-23 02:00:00-04:00,4.0
2011-04-23 03:00:00-04:00,4.0
2011-04-23 04:00:00-04:00,4.0021076
2011-04-23 05:00:00-04:00,4.0
2011-04-23 06:00:00-04:00,4.0
2011-04-23 07:00:00-04:00,4.0
2011-04-23 08:00:00-04:00,106.01645
2011-04-23 09:00:00-04:00,4.0845666
2011-04-23 10:00:00-04:00,28.98
2011-04-23 11:00:00-04:00,38.286617
2011-04-23 12:00:00-04:00,66.02162
2011-04-23 13:00:00-04:00,4.080645
2011-04-23 14:00:00-04:00,4.4483123
2011-04-23 15:00:00-04:00,4.0
2011-04-23 16:00:00-04:00,4.010977
2011-04-23 17:00:00-04:00,4.0299463
2011-04-23 18:00:00-04:00,4.0
2011-04-23 19:00:00-04:00,4.0
2011-04-23 20:00:00-04:00,4.0
2011-04-23 21:00:00-04:00,4.0
2011-04-23 22:00:00-04:00,4.0
2011-04-23 23:00:00-04:00,96.11979
2011-04-24 00:00:00-04:00,4.0
2011-04-24 01:00:00-04:00,4.0
2011-04-24 02:00:00-04:00,4.0
2011-04-24 03:00:00-04:00,4.0
2011-04-24 04:00:00-04:00,4.0
2011-04-24 05:00:00-04:00,4.0
2011-04-24 06:00:00-04:00,4.0
2011-04-24 07:00:00-04:00,4.0
2011-04-24 08:00:00-04:00,29.059702
2011-04-24 09:00:00-04:00,91.89978
2011-04-24 10:00:00-04:00,4.0
2011-04-24 11:00:00-04:00,4.3914895
2011-04-24 12:00:00-04:00,632.9926
2011-04-24 13:00:00-04:00,952.73334
2011-04-24 14:00:00-04:00,400.3019
2011-04-24 15:00:00-04:00,4.276842
2011-04-24 16:00:00-04:00,4.210921
2011-04-24 17:00:00-04:00,79.00321
2011-04-24 18:00:00-04:00,4.090526
2011-04-24 19:00:00-04:00,22.07173
2011-04-24 20:00:00-04:00,17.600643
2011-04-24 21:00:00-04:00,4.003158
2011-04-24 22:00:00-04:00,4.0
2011-04-24 23:00:00-04:00,4.002103
2011-04-25 00:00:00-04:00,4.0
2011-04-25 01:00:00-04:00,4.0
2011-04-25 02:00:00-04:00,4.0
2011-04-25 03:00:00-04:00,4.0
2011-04-25 04:00:00-04:00,4.0
2011-04-25 05:00:00-04:00,4.0
2011-04-25 06:00:00-04:00,4.1035943
2011-04-25 07:00:00-04:00,117.149895
2011-04-25 08:00:00-04:00,87.2527
2011-04-25 09:00:00-04:00,4.0
2011-04-25 10:00:00-04:00,4.0
2011-04-25 11:00:00-04:00,4.0
2011-04-25 12:00:00-04:00,14.690767
2011-04-25 13:00:00-04:00,4.0
2011-04-25 14:00:00-04:00,4.0
2011-04-25 15:00:00-04:00,4.0
2011-04-25 16:00:00-04:00,4.115684
2011-04-25 17:00:00-04:00,4.7789474
2011-04-25 18:00:00-04:00,4.7189474
2011-04-25 19:00:00-04:00,89.12301
2011-04-25 20:00:00-04:00,105.52197
2011-04-25 21:00:00-04:00,4.0032716
2011-04-25 22:00:00-04:00,4.082192
2011-04-25 23:00:00-04:00,4.021053
2011-04-26 00:00:00-04:00,4.0
2011-04-26 01:00:00-04:00,4.0
2011-04-26 02:00:00-04:00,4.0
2011-04-26 03:00:00-04:00,4.0
2011-04-26 04:00:00-04:00,4.0
2011-04-26 05:00:00-04:00,4.0
2011-04-26 06:00:00-04:00,4.04
2011-04-26 07:00:00-04:00,192.92012
2011-04-26 08:00:00-04:00,49.805557
2011-04-26 09:00:00-04:00,4.0
2011-04-26 10:00:00-04:00,77.98404
2011-04-26 11:00:00-04:00,4.0
2011-04-26 12:00:00-04:00,4.0
2011-04-26 13:00:00-04:00,4.0
2011-04-26 14:00:00-04:00,4.0
2011-04-26 15:00:00-04:00,4.0
2011-04-26 16:00:00-04:00,4.0
2011-04-26 17:00:00-04:00,4.0
2011-04-26 18:00:00-04:00,4.0
2011-04-26 19:00:00-04:00,78.68632
2011-04-26 20:00:00-04:00,4.0305586
2011-04-26 21:00:00-04:00,78.64
2011-04-26 22:00:00-04:00,4.0
2011-04-26 23:00:00-04:00,4.0
2011-04-27 00:00:00-04:00,4.0
2011-04-27 01:00:00-04:00,4.0
2011-04-27 02:00:00-04:00,4.0
2011-04-27 03:00:00-04:00,4.0
2011-04-27 04:00:00-04:00,4.0
2011-04-27 05:00:00-04:00,4.0
2011-04-27 06:00:00-04:00,4.0749736
2011-04-27 07:00:00-04:00,104.75501
2011-04-27 08:00:00-04:00,39.77671
2011-04-27 09:00:00-04:00,4.0
2011-04-27 10:00:00-04:00,4.0
2011-04-27 11:00:00-04:00,4.0
2011-04-27 12:00:00-04:00,4.0
2011-04-27 13:00:00-04:00,4.0
2011-04-27 14:00:00-04:00,4.0
2011-04-27 15:00:00-04:00,4.0
2011-04-27 16:00:00-04:00,4.0
2011-04-27 17:00:00-04:00,4.0
2011-04-27 18:00:00-04:00,4.0
2011-04-27 19:00:00-04:00,4.0
2011-04-27 20:00:00-04:00,4.0
2011-04-27 21:00:00-04:00,78.93987
2011-04-27 22:00:00-04:00,4.0
2011-04-27 23:00:00-04:00,4.0
2011-04-28 00:00:00-04:00,4.0
2011-04-28 01:00:00-04:00,4.0
2011-04-28 02:00:00-04:00,4.0
2011-04-28 03:00:00-04:00,4.0
2011-04-28 04:00:00-04:00,4.0
2011-04-28 05:00:00-04:00,4.0
2011-04-28 06:00:00-04:00,53.075054
2011-04-28 07:00:00-04:00,28.697355
2011-04-28 08:00:00-04:00,38.414474
2011-04-28 09:00:00-04:00,4.0
2011-04-28 10:00:00-04:00,4.0
2011-04-28 11:00:00-04:00,4.0
2011-04-28 12:00:00-04:00,3.998884
2011-04-28 13:00:00-04:00,4.0
2011-04-28 14:00:00-04:00,4.0
2011-04-28 15:00:00-04:00,4.0
2011-04-28 16:00:00-04:00,4.0
2011-04-28 17:00:00-04:00,4.0
2011-04-28 18:00:00-04:00,4.1775084
2011-04-28 19:00:00-04:00,4.5694447
2011-04-28 20:00:00-04:00,77.35767
2011-04-28 21:00:00-04:00,4.0842104
2011-04-28 22:00:00-04:00,4.105263
2011-04-28 23:00:00-04:00,4.47306
2011-04-29 00:00:00-04:00,4.0
2011-04-29 01:00:00-04:00,4.0
2011-04-29 02:00:00-04:00,4.0
2011-04-29 03:00:00-04:00,4.0
2011-04-29 04:00:00-04:00,4.0
2011-04-29 05:00:00-04:00,4.0
2011-04-29 06:00:00-04:00,110.83528
2011-04-29 07:00:00-04:00,4.1873684
2011-04-29 08:00:00-04:00,105.70886
2011-04-29 09:00:00-04:00,4.0
2011-04-29 10:00:00-04:00,4.0
2011-04-29 11:00:00-04:00,4.0
2011-04-29 12:00:00-04:00,4.0
2011-04-29 13:00:00-04:00,4.0
2011-04-29 14:00:00-04:00,4.0
2011-04-29 15:00:00-04:00,4.0
2011-04-29 16:00:00-04:00,4.0
2011-04-29 17:00:00-04:00,4.0
2011-04-29 18:00:00-04:00,4.0
2011-04-29 19:00:00-04:00,76.885956
2011-04-29 20:00:00-04:00,4.1345954
2011-04-29 21:00:00-04:00,4.110643
2011-04-29 22:00:00-04:00,4.2103047
2011-04-29 23:00:00-04:00,4.097032
2011-04-30 00:00:00-04:00,4.0
2011-04-30 01:00:00-04:00,4.0
2011-04-30 02:00:00-04:00,4.0
2011-04-30 03:00:00-04:00,4.0
2011-04-30 04:00:00-04:00,4.0
2011-04-30 05:00:00-04:00,4.0
2011-04-30 06:00:00-04:00,4.0
2011-04-30 07:00:00-04:00,54.341827
2011-04-30 08:00:00-04:00,63.31191
2011-04-30 09:00:00-04:00,42.161842
2011-04-30 10:00:00-04:00,3.9118607
2011-04-30 11:00:00-04:00,27.473797
2011-04-30 12:00:00-04:00,150.04324
2011-04-30 13:00:00-04:00,34.514378
2011-04-30 14:00:00-04:00,3.9686148
2011-04-30 15:00:00-04:00,3.944681
2011-04-30 16:00:00-04:00,27.132631
2011-04-30 17:00:00-04:00,38.026344
2011-04-30 18:00:00-04:00,4.0
2011-04-30 19:00:00-04:00,135.66492
2011-04-30 20:00:00-04:00,4.0189276
2011-04-30 21:00:00-04:00,4.062105
2011-04-30 22:00:00-04:00,4.1820107
2011-04-30 23:00:00-04:00,4.003268
2011-05-01 00:00:00-04:00,4.0
2011-05-01 01:00:00-04:00,4.0
2011-05-01 02:00:00-04:00,4.0
2011-05-01 03:00:00-04:00,4.0
2011-05-01 04:00:00-04:00,4.0
2011-05-01 05:00:00-04:00,4.0
2011-05-01 06:00:00-04:00,99.78303
2011-05-01 07:00:00-04:00,4.6923075
2011-05-01 08:00:00-04:00,4.450526
2011-05-01 09:00:00-04:00,56.472282
2011-05-01 10:00:00-04:00,29.25053
2011-05-01 11:00:00-04:00,4.0
2011-05-01 12:00:00-04:00,30.018559
2011-05-01 13:00:00-04:00,30.067537
2011-05-01 14:00:00-04:00,4.0
2011-05-01 15:00:00-04:00,4.0
2011-05-01 16:00:00-04:00,3.9878855
2011-05-01 17:00:00-04:00,114.92284
2011-05-01 18:00:00-04:00,8.856077
2011-05-01 19:00:00-04:00,4.1692953
2011-05-01 20:00:00-04:00,4.0852633
2011-05-01 21:00:00-04:00,4.1789474
2011-05-01 22:00:00-04:00,80.63091
2011-05-01 23:00:00-04:00,4.0
2011-05-02 00:00:00-04:00,4.0
2011-05-02 01:00:00-04:00,4.0
2011-05-02 02:00:00-04:00,4.0
2011-05-02 03:00:00-04:00,4.0
2011-05-02 04:00:00-04:00,4.0
2011-05-02 05:00:00-04:00,4.0
2011-05-02 06:00:00-04:00,4.0
2011-05-02 07:00:00-04:00,28.034445
2011-05-02 08:00:00-04:00,4.0
2011-05-02 09:00:00-04:00,4.0
2011-05-02 10:00:00-04:00,4.0
2011-05-02 11:00:00-04:00,4.0
2011-05-02 12:00:00-04:00,4.0
2011-05-02 13:00:00-04:00,4.0
2011-05-02 14:00:00-04:00,4.0
2011-05-02 15:00:00-04:00,4.0
2011-05-02 16:00:00-04:00,4.0
2011-05-02 17:00:00-04:00,4.0
2011-05-02 18:00:00-04:00,4.0
2011-05-02 19:00:00-04:00,4.0
2011-05-02 20:00:00-04:00,74.80937
2011-05-02 21:00:00-04:00,4.066098
