physical_quantity,power
type,active
2011-04-21 00:00:02,104.0
2011-04-21 00:00:06,118.0
2011-04-21 00:00:09,101.0
2011-04-21 00:00:13,103.0
2011-04-21 00:00:16,102.0
2011-04-21 00:00:19,104.0
2011-04-21 00:00:23,101.0
2011-04-21 00:00:26,103.0
2011-04-21 00:00:35,102.0
2011-04-21 00:00:38,102.0
2011-04-21 00:00:41,103.0
2011-04-21 00:00:45,107.0
2011-04-21 00:00:48,102.0
2011-04-21 00:00:52,102.0
2011-04-21 00:00:55,107.0
2011-04-21 00:00:59,99.0
2011-04-21 00:01:02,101.0
2011-04-21 00:01:06,102.0
2011-04-21 00:01:09,113.0
2011-04-21 00:01:12,107.0
2011-04-21 00:01:16,107.0
2011-04-21 00:01:19,112.0
2011-04-21 00:01:23,107.0
2011-04-21 00:01:26,101.0
2011-04-21 00:01:35,99.0
2011-04-21 00:01:38,106.0
2011-04-21 00:01:42,99.0
2011-04-21 00:01:45,103.0
2011-04-21 00:01:48,94.0
2011-04-21 00:01:52,103.0
2011-04-21 00:01:55,102.0
2011-04-21 00:01:59,101.0
2011-04-21 00:02:02,100.0
2011-04-21 00:02:06,105.0
2011-04-21 00:02:09,102.0
2011-04-21 00:02:13,106.0
2011-04-21 00:02:16,101.0
2011-04-21 00:02:19,101.0
2011-04-21 00:02:23,105.0
2011-04-21 00:02:26,99.0
2011-04-21 00:02:35,105.0
2011-04-21 00:02:38,102.0
2011-04-21 00:02:42,105.0
2011-04-21 00:02:45,103.0
2011-04-21 00:02:48,102.0
2011-04-21 00:02:52,104.0
2011-04-21 00:02:55,104.0
2011-04-21 00:02:59,102.0
2011-04-21 00:03:02,107.0
2011-04-21 00:03:06,100.0
2011-04-21 00:03:09,110.0
2011-04-21 00:03:12,102.0
2011-04-21 00:03:16,102.0
2011-04-21 00:03:19,104.0
2011-04-21 00:03:23,99.0
2011-04-21 00:03:26,104.0
2011-04-21 00:03:35,106.0
2011-04-21 00:03:38,107.0
2011-04-21 00:03:42,105.0
2011-04-21 00:03:45,104.0
2011-04-21 00:03:49,100.0
2011-04-21 00:03:52,103.0
2011-04-21 00:03:55,100.0
2011-04-21 00:03:59,100.0
2011-04-21 00:04:02,105.0
2011-04-21 00:04:05,104.0
2011-04-21 00:04:09,102.0
2011-04-21 00:04:12,100.0
2011-04-21 00:04:16,102.0
2011-04-21 00:04:19,103.0
2011-04-21 00:04:23,107.0
2011-04-21 00:04:32,101.0
2011-04-21 00:04:35,102.0
2011-04-21 00:04:39,102.0
2011-04-21 00:04:42,98.0
2011-04-21 00:04:46,98.0
2011-04-21 00:04:49,98.0
2011-04-21 00:04:52,99.0
2011-04-21 00:04:56,98.0
2011-04-21 00:04:59,101.0
2011-04-21 00:05:03,98.0
2011-04-21 00:05:06,100.0
2011-04-21 00:05:09,95.0
2011-04-21 00:05:13,97.0
2011-04-21 00:05:16,98.0
2011-04-21 00:05:20,99.0
2011-04-21 00:05:23,94.0
2011-04-21 00:05:32,100.0
2011-04-21 00:05:35,95.0
2011-04-21 00:05:39,99.0
2011-04-21 00:05:42,96.0
2011-04-21 00:05:46,97.0
2011-04-21 00:05:49,96.0
2011-04-21 00:05:53,96.0
2011-04-21 00:05:56,94.0
2011-04-21 00:05:59,98.0
2011-04-21 00:06:03,97.0
2011-04-21 00:06:06,95.0
2011-04-21 00:06:10,95.0
2011-04-21 00:06:13,97.0
2011-04-21 00:06:16,97.0
2011-04-21 00:06:20,92.0
2011-04-21 00:06:23,95.0
2011-04-21 00:06:32,95.0
2011-04-21 00:06:35,97.0
2011-04-21 00:06:39,97.0
2011-04-21 00:06:42,99.0
2011-04-21 00:06:45,99.0
2011-04-21 00:06:49,100.0
2011-04-21 00:06:52,97.0
2011-04-21 00:06:56,103.0
2011-04-21 00:06:59,97.0
