physical_quantity,power
type,active
2011-04-21 06:12:45,6.0
2011-04-21 06:12:48,6.0
2011-04-21 06:12:57,6.0
2011-04-21 06:13:01,6.0
2011-04-21 06:13:04,6.0
2011-04-21 06:13:08,6.0
2011-04-21 06:13:11,6.0
2011-04-21 06:13:15,6.0
2011-04-21 06:13:18,6.0
2011-04-21 06:13:22,6.0
2011-04-21 06:13:25,6.0
2011-04-21 06:13:29,6.0
2011-04-21 06:13:32,6.0
2011-04-21 06:13:35,6.0
2011-04-21 06:13:39,6.0
2011-04-21 06:13:42,6.0
2011-04-21 06:13:46,6.0
2011-04-21 06:13:49,6.0
2011-04-21 06:13:58,6.0
2011-04-21 06:14:01,6.0
2011-04-21 06:14:05,6.0
2011-04-21 06:14:08,6.0
2011-04-21 06:14:12,6.0
2011-04-21 06:14:15,6.0
2011-04-21 06:14:19,6.0
2011-04-21 06:14:22,6.0
2011-04-21 06:14:26,6.0
2011-04-21 06:14:29,6.0
2011-04-21 06:14:33,6.0
2011-04-21 06:14:36,6.0
2011-04-21 06:14:40,6.0
2011-04-21 06:14:43,6.0
2011-04-21 06:14:47,6.0
2011-04-21 06:14:50,7.0
2011-04-21 06:14:59,6.0
2011-04-21 06:15:02,6.0
2011-04-21 06:15:06,6.0
2011-04-21 06:15:09,6.0
2011-04-21 06:15:13,6.0
2011-04-21 06:15:16,6.0
2011-04-21 06:15:19,6.0
2011-04-21 06:15:23,6.0
2011-04-21 06:15:26,6.0
2011-04-21 06:15:30,6.0
2011-04-21 06:15:33,6.0
2011-04-21 06:15:37,6.0
2011-04-21 06:15:40,6.0
2011-04-21 06:15:43,6.0
2011-04-21 06:15:47,6.0
2011-04-21 06:15:50,6.0
2011-04-21 06:15:59,221.0
2011-04-21 06:16:03,223.0
2011-04-21 06:16:06,222.0
2011-04-21 06:16:09,225.0
2011-04-21 06:16:13,225.0
2011-04-21 06:16:16,216.0
2011-04-21 06:16:20,228.0
2011-04-21 06:16:23,224.0
2011-04-21 06:16:27,227.0
2011-04-21 06:16:30,214.0
2011-04-21 06:16:34,216.0
2011-04-21 06:16:37,233.0
2011-04-21 06:16:41,216.0
2011-04-21 06:16:44,219.0
2011-04-21 06:16:47,217.0
2011-04-21 06:16:51,226.0
2011-04-21 06:17:00,223.0
2011-04-21 06:17:03,217.0
2011-04-21 06:17:07,215.0
2011-04-21 06:17:10,218.0
2011-04-21 06:17:14,214.0
2011-04-21 06:17:17,220.0
2011-04-21 06:17:20,218.0
2011-04-21 06:17:24,216.0
2011-04-21 06:17:27,214.0
2011-04-21 06:17:31,215.0
2011-04-21 06:17:34,592.0
2011-04-21 06:17:38,590.0
2011-04-21 06:17:42,587.0
2011-04-21 06:17:45,575.0
2011-04-21 06:17:49,568.0
2011-04-21 06:17:58,613.0
2011-04-21 06:18:01,587.0
2011-04-21 06:18:05,575.0
2011-04-21 06:18:08,566.0
2011-04-21 06:18:12,571.0
2011-04-21 06:18:15,612.0
2011-04-21 06:18:19,597.0
2011-04-21 06:18:22,598.0
2011-04-21 06:18:26,576.0
2011-04-21 06:18:29,564.0
2011-04-21 06:18:32,567.0
2011-04-21 06:18:36,561.0
2011-04-21 06:18:39,553.0
2011-04-21 06:18:43,555.0
2011-04-21 06:18:46,545.0
2011-04-21 06:18:50,565.0
2011-04-21 06:18:59,566.0
2011-04-21 06:19:02,559.0
2011-04-21 06:19:06,551.0
2011-04-21 06:19:09,547.0
2011-04-21 06:19:13,558.0
2011-04-21 06:19:16,550.0
2011-04-21 06:19:20,565.0
2011-04-21 06:19:23,560.0
2011-04-21 06:19:26,554.0
2011-04-21 06:19:30,559.0
2011-04-21 06:19:33,546.0
2011-04-21 06:19:37,553.0
2011-04-21 06:19:40,558.0
2011-04-21 06:19:44,577.0
2011-04-21 06:19:47,553.0
2011-04-21 06:19:51,551.0
2011-04-21 06:19:59,569.0
2011-04-21 06:20:03,572.0
2011-04-21 06:20:06,574.0
2011-04-21 06:20:10,570.0
2011-04-21 06:20:13,562.0
2011-04-21 06:20:17,549.0
2011-04-21 06:20:20,554.0
2011-04-21 06:20:23,546.0
2011-04-21 06:20:27,544.0
2011-04-21 06:20:30,539.0
2011-04-21 06:20:34,543.0
2011-04-21 06:20:37,554.0
2011-04-21 06:20:41,552.0
2011-04-21 06:20:44,544.0
2011-04-21 06:20:47,557.0
2011-04-21 06:20:51,557.0
2011-04-21 06:20:59,545.0
2011-04-21 06:21:03,536.0
2011-04-21 06:21:06,547.0
2011-04-21 06:21:10,588.0
2011-04-21 06:21:14,579.0
2011-04-21 06:21:17,584.0
2011-04-21 06:21:20,582.0
2011-04-21 06:21:24,545.0
2011-04-21 06:21:27,535.0
2011-04-21 06:21:31,537.0
2011-04-21 06:21:34,540.0
2011-04-21 06:21:38,527.0
2011-04-21 06:21:41,540.0
2011-04-21 06:21:45,544.0
2011-04-21 06:21:48,551.0
2011-04-21 06:21:57,576.0
2011-04-21 06:22:00,562.0
2011-04-21 06:22:04,571.0
2011-04-21 06:22:07,574.0
2011-04-21 06:22:11,547.0
2011-04-21 06:22:14,550.0
2011-04-21 06:22:17,552.0
2011-04-21 06:22:21,548.0
2011-04-21 06:22:24,590.0
2011-04-21 06:22:28,592.0
2011-04-21 06:22:31,589.0
2011-04-21 06:22:35,592.0
2011-04-21 06:22:38,543.0
2011-04-21 06:22:42,568.0
2011-04-21 06:22:45,564.0
2011-04-21 06:22:48,570.0
2011-04-21 06:22:57,582.0
2011-04-21 06:23:01,584.0
2011-04-21 06:23:04,555.0
2011-04-21 06:23:08,590.0
2011-04-21 06:23:11,595.0
2011-04-21 06:23:14,596.0
2011-04-21 06:23:18,596.0
2011-04-21 06:23:21,591.0
2011-04-21 06:23:25,559.0
2011-04-21 06:23:28,563.0
2011-04-21 06:23:32,556.0
2011-04-21 06:23:35,562.0
2011-04-21 06:23:39,559.0
2011-04-21 06:23:42,558.0
2011-04-21 06:23:45,552.0
2011-04-21 06:23:49,553.0
2011-04-21 06:23:58,547.0
2011-04-21 06:24:01,550.0
2011-04-21 06:24:05,542.0
2011-04-21 06:24:08,543.0
2011-04-21 06:24:11,542.0
2011-04-21 06:24:15,539.0
2011-04-21 06:24:18,543.0
2011-04-21 06:24:22,540.0
2011-04-21 06:24:25,547.0
2011-04-21 06:24:28,544.0
2011-04-21 06:24:31,537.0
2011-04-21 06:24:35,545.0
2011-04-21 06:24:38,531.0
2011-04-21 06:24:42,548.0
2011-04-21 06:24:45,533.0
2011-04-21 06:24:49,532.0
2011-04-21 06:24:58,531.0
2011-04-21 06:25:01,564.0
2011-04-21 06:25:05,563.0
2011-04-21 06:25:08,560.0
2011-04-21 06:25:12,540.0
2011-04-21 06:25:15,530.0
2011-04-21 06:25:19,543.0
2011-04-21 06:25:22,547.0
2011-04-21 06:25:25,565.0
2011-04-21 06:25:29,543.0
2011-04-21 06:25:32,538.0
2011-04-21 06:25:36,537.0
2011-04-21 06:25:39,541.0
2011-04-21 06:25:43,546.0
2011-04-21 06:25:46,593.0
2011-04-21 06:25:50,585.0
2011-04-21 06:25:58,534.0
2011-04-21 06:26:02,531.0
2011-04-21 06:26:05,538.0
2011-04-21 06:26:09,542.0
2011-04-21 06:26:12,585.0
2011-04-21 06:26:16,586.0
2011-04-21 06:26:19,578.0
2011-04-21 06:26:23,564.0
2011-04-21 06:26:26,546.0
2011-04-21 06:26:30,552.0
2011-04-21 06:26:33,544.0
2011-04-21 06:26:36,537.0
2011-04-21 06:26:40,569.0
2011-04-21 06:26:43,544.0
2011-04-21 06:26:47,551.0
2011-04-21 06:26:50,552.0
2011-04-21 06:26:59,532.0
2011-04-21 06:27:02,532.0
2011-04-21 06:27:06,574.0
2011-04-21 06:27:09,541.0
2011-04-21 06:27:13,542.0
2011-04-21 06:27:16,544.0
2011-04-21 06:27:20,542.0
2011-04-21 06:27:23,541.0
2011-04-21 06:27:27,574.0
2011-04-21 06:27:30,580.0
2011-04-21 06:27:33,553.0
2011-04-21 06:27:37,551.0
2011-04-21 06:27:40,535.0
2011-04-21 06:27:44,543.0
2011-04-21 06:27:47,535.0
2011-04-21 06:27:51,550.0
2011-04-21 06:27:59,543.0
2011-04-21 06:28:03,542.0
2011-04-21 06:28:07,520.0
2011-04-21 06:28:10,527.0
2011-04-21 06:28:13,536.0
2011-04-21 06:28:17,518.0
2011-04-21 06:28:20,536.0
2011-04-21 06:28:24,545.0
2011-04-21 06:28:27,555.0
2011-04-21 06:28:31,536.0
2011-04-21 06:28:34,541.0
2011-04-21 06:28:38,338.0
2011-04-21 06:28:41,337.0
