physical_quantity,power
type,active
2011-04-21 06:12:45,3.0
2011-04-21 06:12:48,3.0
2011-04-21 06:12:57,3.0
2011-04-21 06:13:01,3.0
2011-04-21 06:13:04,3.0
2011-04-21 06:13:08,3.0
2011-04-21 06:13:11,3.0
2011-04-21 06:13:15,3.0
2011-04-21 06:13:18,3.0
2011-04-21 06:13:22,3.0
2011-04-21 06:13:25,3.0
2011-04-21 06:13:29,3.0
2011-04-21 06:13:32,3.0
2011-04-21 06:13:35,3.0
2011-04-21 06:13:39,3.0
2011-04-21 06:13:42,3.0
2011-04-21 06:13:46,3.0
2011-04-21 06:13:49,3.0
2011-04-21 06:13:58,3.0
2011-04-21 06:14:01,3.0
2011-04-21 06:14:05,3.0
2011-04-21 06:14:08,3.0
2011-04-21 06:14:12,3.0
2011-04-21 06:14:15,3.0
2011-04-21 06:14:19,3.0
2011-04-21 06:14:22,3.0
2011-04-21 06:14:26,3.0
2011-04-21 06:14:29,3.0
2011-04-21 06:14:33,3.0
2011-04-21 06:14:36,3.0
2011-04-21 06:14:40,3.0
2011-04-21 06:14:43,3.0
2011-04-21 06:14:47,3.0
2011-04-21 06:14:50,3.0
2011-04-21 06:14:59,3.0
2011-04-21 06:15:02,3.0
2011-04-21 06:15:06,3.0
2011-04-21 06:15:09,3.0
2011-04-21 06:15:13,3.0
2011-04-21 06:15:16,3.0
2011-04-21 06:15:19,3.0
2011-04-21 06:15:23,3.0
2011-04-21 06:15:26,3.0
2011-04-21 06:15:30,3.0
2011-04-21 06:15:33,3.0
2011-04-21 06:15:37,3.0
2011-04-21 06:15:40,3.0
2011-04-21 06:15:43,3.0
2011-04-21 06:15:47,3.0
2011-04-21 06:15:50,3.0
2011-04-21 06:15:59,3.0
2011-04-21 06:16:03,3.0
2011-04-21 06:16:06,3.0
2011-04-21 06:16:09,3.0
2011-04-21 06:16:13,3.0
2011-04-21 06:16:16,3.0
2011-04-21 06:16:20,3.0
2011-04-21 06:16:23,3.0
2011-04-21 06:16:27,3.0
2011-04-21 06:16:30,3.0
2011-04-21 06:16:34,3.0
2011-04-21 06:16:37,3.0
2011-04-21 06:16:41,3.0
2011-04-21 06:16:44,3.0
2011-04-21 06:16:47,3.0
2011-04-21 06:16:51,3.0
2011-04-21 06:17:00,3.0
2011-04-21 06:17:03,3.0
2011-04-21 06:17:07,3.0
2011-04-21 06:17:10,3.0
2011-04-21 06:17:14,3.0
2011-04-21 06:17:17,3.0
2011-04-21 06:17:20,3.0
2011-04-21 06:17:24,3.0
2011-04-21 06:17:27,3.0
2011-04-21 06:17:31,3.0
2011-04-21 06:17:34,3.0
2011-04-21 06:17:38,3.0
2011-04-21 06:17:42,3.0
2011-04-21 06:17:45,3.0
2011-04-21 06:17:49,3.0
2011-04-21 06:17:58,3.0
2011-04-21 06:18:01,3.0
2011-04-21 06:18:05,3.0
2011-04-21 06:18:08,3.0
2011-04-21 06:18:12,3.0
2011-04-21 06:18:15,3.0
2011-04-21 06:18:19,3.0
2011-04-21 06:18:22,3.0
2011-04-21 06:18:26,3.0
2011-04-21 06:18:29,3.0
2011-04-21 06:18:32,3.0
2011-04-21 06:18:36,3.0
2011-04-21 06:18:39,3.0
2011-04-21 06:18:43,3.0
2011-04-21 06:18:46,3.0
2011-04-21 06:18:50,3.0
2011-04-21 06:18:59,3.0
2011-04-21 06:19:02,3.0
