physical_quantity,power
type,active
2011-04-21 06:12:45,4.0
2011-04-21 06:12:48,4.0
2011-04-21 06:12:57,4.0
2011-04-21 06:13:01,4.0
2011-04-21 06:13:04,4.0
2011-04-21 06:13:08,4.0
2011-04-21 06:13:11,4.0
2011-04-21 06:13:15,4.0
2011-04-21 06:13:18,4.0
2011-04-21 06:13:22,4.0
2011-04-21 06:13:25,4.0
2011-04-21 06:13:29,4.0
2011-04-21 06:13:32,4.0
2011-04-21 06:13:35,4.0
2011-04-21 06:13:39,4.0
2011-04-21 06:13:42,3.0
2011-04-21 06:13:46,4.0
2011-04-21 06:13:49,4.0
2011-04-21 06:13:58,4.0
2011-04-21 06:14:01,4.0
2011-04-21 06:14:05,4.0
2011-04-21 06:14:08,3.0
2011-04-21 06:14:12,4.0
2011-04-21 06:14:15,4.0
2011-04-21 06:14:19,4.0
2011-04-21 06:14:22,4.0
2011-04-21 06:14:26,4.0
2011-04-21 06:14:29,4.0
2011-04-21 06:14:33,4.0
2011-04-21 06:14:36,4.0
2011-04-21 06:14:40,4.0
2011-04-21 06:14:43,4.0
2011-04-21 06:14:47,4.0
2011-04-21 06:14:50,4.0
2011-04-21 06:14:59,4.0
2011-04-21 06:15:02,3.0
2011-04-21 06:15:06,4.0
2011-04-21 06:15:09,4.0
2011-04-21 06:15:13,4.0
2011-04-21 06:15:16,4.0
2011-04-21 06:15:19,4.0
2011-04-21 06:15:23,4.0
2011-04-21 06:15:26,4.0
2011-04-21 06:15:30,4.0
2011-04-21 06:15:33,4.0
2011-04-21 06:15:37,4.0
2011-04-21 06:15:40,4.0
2011-04-21 06:15:43,4.0
2011-04-21 06:15:47,4.0
2011-04-21 06:15:50,4.0
2011-04-21 06:15:59,4.0
2011-04-21 06:16:03,4.0
2011-04-21 06:16:06,4.0
2011-04-21 06:16:09,4.0
2011-04-21 06:16:13,4.0
2011-04-21 06:16:16,4.0
2011-04-21 06:16:20,4.0
2011-04-21 06:16:23,4.0
2011-04-21 06:16:27,4.0
2011-04-21 06:16:30,4.0
2011-04-21 06:16:34,4.0
2011-04-21 06:16:37,4.0
2011-04-21 06:16:41,4.0
2011-04-21 06:16:44,4.0
2011-04-21 06:16:47,4.0
2011-04-21 06:16:51,4.0
2011-04-21 06:17:00,4.0
2011-04-21 06:17:03,4.0
2011-04-21 06:17:07,4.0
2011-04-21 06:17:10,4.0
2011-04-21 06:17:14,4.0
2011-04-21 06:17:17,4.0
2011-04-21 06:17:20,4.0
2011-04-21 06:17:24,4.0
2011-04-21 06:17:27,4.0
2011-04-21 06:17:31,4.0
2011-04-21 06:17:34,4.0
2011-04-21 06:17:38,4.0
2011-04-21 06:17:42,4.0
2011-04-21 06:17:45,4.0
2011-04-21 06:17:49,4.0
2011-04-21 06:17:58,4.0
2011-04-21 06:18:01,4.0
2011-04-21 06:18:05,4.0
2011-04-21 06:18:08,4.0
2011-04-21 06:18:12,4.0
2011-04-21 06:18:15,4.0
2011-04-21 06:18:19,4.0
2011-04-21 06:18:22,4.0
2011-04-21 06:18:26,4.0
2011-04-21 06:18:29,4.0
2011-04-21 06:18:32,4.0
2011-04-21 06:18:36,4.0
2011-04-21 06:18:39,4.0
2011-04-21 06:18:43,4.0
2011-04-21 06:18:46,4.0
2011-04-21 06:18:50,4.0
2011-04-21 06:18:59,4.0
2011-04-21 06:19:02,4.0
2011-04-21 06:19:06,4.0
2011-04-21 06:19:09,4.0
2011-04-21 06:19:13,4.0
2011-04-21 06:19:16,4.0
2011-04-21 06:19:20,4.0
2011-04-21 06:19:23,4.0
2011-04-21 06:19:26,4.0
2011-04-21 06:19:30,4.0
2011-04-21 06:19:33,4.0
2011-04-21 06:19:37,4.0
2011-04-21 06:19:40,4.0
2011-04-21 06:19:44,4.0
2011-04-21 06:19:47,4.0
2011-04-21 06:19:51,4.0
2011-04-21 06:19:59,4.0
2011-04-21 06:20:03,4.0
2011-04-21 06:20:06,4.0
2011-04-21 06:20:10,4.0
2011-04-21 06:20:13,4.0
2011-04-21 06:20:17,4.0
2011-04-21 06:20:20,4.0
2011-04-21 06:20:23,4.0
2011-04-21 06:20:27,4.0
2011-04-21 06:20:30,4.0
2011-04-21 06:20:34,4.0
2011-04-21 06:20:37,5.0
2011-04-21 06:20:41,4.0
2011-04-21 06:20:44,4.0
2011-04-21 06:20:47,4.0
2011-04-21 06:20:51,4.0
2011-04-21 06:20:59,4.0
2011-04-21 06:21:03,4.0
2011-04-21 06:21:06,4.0
2011-04-21 06:21:10,4.0
2011-04-21 06:21:14,4.0
2011-04-21 06:21:17,4.0
2011-04-21 06:21:20,4.0
2011-04-21 06:21:24,4.0
2011-04-21 06:21:27,4.0
2011-04-21 06:21:31,4.0
2011-04-21 06:21:34,4.0
2011-04-21 06:21:38,4.0
2011-04-21 06:21:41,4.0
2011-04-21 06:21:45,4.0
2011-04-21 06:21:48,4.0
2011-04-21 06:21:57,4.0
2011-04-21 06:22:00,4.0
2011-04-21 06:22:04,4.0
2011-04-21 06:22:07,4.0
2011-04-21 06:22:11,4.0
2011-04-21 06:22:14,4.0
2011-04-21 06:22:17,4.0
2011-04-21 06:22:21,4.0
2011-04-21 06:22:24,4.0
2011-04-21 06:22:28,4.0
2011-04-21 06:22:31,4.0
2011-04-21 06:22:35,4.0
2011-04-21 06:22:38,4.0
2011-04-21 06:22:42,4.0
2011-04-21 06:22:45,4.0
2011-04-21 06:22:48,4.0
2011-04-21 06:22:57,4.0
2011-04-21 06:23:01,4.0
2011-04-21 06:23:04,4.0
2011-04-21 06:23:08,4.0
2011-04-21 06:23:11,4.0
2011-04-21 06:23:14,4.0
2011-04-21 06:23:18,4.0
2011-04-21 06:23:21,4.0
2011-04-21 06:23:25,4.0
2011-04-21 06:23:28,4.0
2011-04-21 06:23:32,4.0
2011-04-21 06:23:35,4.0
2011-04-21 06:23:39,4.0
2011-04-21 06:23:42,4.0
2011-04-21 06:23:45,4.0
2011-04-21 06:23:49,4.0
2011-04-21 06:23:58,4.0
2011-04-21 06:24:01,4.0
2011-04-21 06:24:05,4.0
2011-04-21 06:24:08,4.0
2011-04-21 06:24:11,4.0
2011-04-21 06:24:15,4.0
2011-04-21 06:24:18,4.0
2011-04-21 06:24:22,4.0
2011-04-21 06:24:25,4.0
2011-04-21 06:24:28,4.0
2011-04-21 06:24:31,4.0
2011-04-21 06:24:35,4.0
2011-04-21 06:24:38,4.0
2011-04-21 06:24:42,4.0
2011-04-21 06:24:45,4.0
2011-04-21 06:24:49,4.0
2011-04-21 06:24:58,4.0
2011-04-21 06:25:01,4.0
2011-04-21 06:25:05,4.0
2011-04-21 06:25:08,4.0
2011-04-21 06:25:12,4.0
2011-04-21 06:25:15,4.0
2011-04-21 06:25:19,4.0
2011-04-21 06:25:22,4.0
2011-04-21 06:25:25,4.0
2011-04-21 06:25:29,4.0
2011-04-21 06:25:32,4.0
2011-04-21 06:25:36,4.0
2011-04-21 06:25:39,4.0
2011-04-21 06:25:43,4.0
2011-04-21 06:25:46,4.0
2011-04-21 06:25:50,4.0
2011-04-21 06:25:58,4.0
2011-04-21 06:26:02,4.0
2011-04-21 06:26:05,4.0
2011-04-21 06:26:09,4.0
2011-04-21 06:26:12,4.0
2011-04-21 06:26:16,4.0
2011-04-21 06:26:19,4.0
2011-04-21 06:26:23,4.0
2011-04-21 06:26:26,4.0
2011-04-21 06:26:30,4.0
2011-04-21 06:26:33,4.0
2011-04-21 06:26:36,4.0
2011-04-21 06:26:40,4.0
2011-04-21 06:26:43,4.0
2011-04-21 06:26:47,4.0
2011-04-21 06:26:50,4.0
2011-04-21 06:26:59,4.0
2011-04-21 06:27:02,4.0
2011-04-21 06:27:06,4.0
2011-04-21 06:27:09,4.0
2011-04-21 06:27:13,4.0
2011-04-21 06:27:16,4.0
2011-04-21 06:27:20,4.0
2011-04-21 06:27:23,4.0
2011-04-21 06:27:27,4.0
2011-04-21 06:27:30,4.0
2011-04-21 06:27:33,4.0
2011-04-21 06:27:37,4.0
2011-04-21 06:27:40,4.0
2011-04-21 06:27:44,4.0
2011-04-21 06:27:47,4.0
2011-04-21 06:27:51,4.0
2011-04-21 06:27:59,4.0
2011-04-21 06:28:03,4.0
2011-04-21 06:28:07,4.0
2011-04-21 06:28:10,4.0
2011-04-21 06:28:13,4.0
2011-04-21 06:28:17,4.0
2011-04-21 06:28:20,4.0
2011-04-21 06:28:24,4.0
2011-04-21 06:28:27,4.0
2011-04-21 06:28:31,4.0
2011-04-21 06:28:34,4.0
2011-04-21 06:28:38,4.0
2011-04-21 06:28:41,4.0
2011-04-21 06:28:44,4.0
2011-04-21 06:28:48,4.0
2011-04-21 06:28:57,4.0
2011-04-21 06:29:00,4.0
2011-04-21 06:29:04,4.0
