physical_quantity,power
type,active
2011-04-21 06:12:45,1.0
2011-04-21 06:12:48,1.0
2011-04-21 06:12:57,1.0
2011-04-21 06:13:01,1.0
2011-04-21 06:13:04,1.0
2011-04-21 06:13:08,1.0
2011-04-21 06:13:11,1.0
2011-04-21 06:13:15,1.0
2011-04-21 06:13:18,1.0
2011-04-21 06:13:22,1.0
2011-04-21 06:13:25,1.0
2011-04-21 06:13:29,1.0
2011-04-21 06:13:32,1.0
2011-04-21 06:13:35,1.0
2011-04-21 06:13:39,1.0
2011-04-21 06:13:42,1.0
2011-04-21 06:13:46,1.0
2011-04-21 06:13:49,1.0
2011-04-21 06:13:58,1.0
2011-04-21 06:14:01,1.0
2011-04-21 06:14:05,1.0
2011-04-21 06:14:08,1.0
2011-04-21 06:14:12,1.0
2011-04-21 06:14:15,1.0
2011-04-21 06:14:19,1.0
2011-04-21 06:14:22,1.0
2011-04-21 06:14:26,1.0
2011-04-21 06:14:29,1.0
2011-04-21 06:14:33,1.0
2011-04-21 06:14:36,1.0
2011-04-21 06:14:40,1.0
2011-04-21 06:14:43,1.0
2011-04-21 06:14:47,1.0
2011-04-21 06:14:50,1.0
2011-04-21 06:14:59,1.0
2011-04-21 06:15:02,1.0
2011-04-21 06:15:06,1.0
2011-04-21 06:15:09,1.0
2011-04-21 06:15:13,1.0
2011-04-21 06:15:16,1.0
2011-04-21 06:15:19,1.0
2011-04-21 06:15:23,1.0
2011-04-21 06:15:26,1.0
2011-04-21 06:15:30,1.0
2011-04-21 06:15:33,1.0
2011-04-21 06:15:37,1.0
2011-04-21 06:15:40,1.0
2011-04-21 06:15:43,1.0
2011-04-21 06:15:47,1.0
2011-04-21 06:15:50,1.0
2011-04-21 06:15:59,1.0
2011-04-21 06:16:03,1.0
2011-04-21 06:16:06,1.0
2011-04-21 06:16:09,1.0
2011-04-21 06:16:13,1.0
2011-04-21 06:16:16,1.0
2011-04-21 06:16:20,1.0
2011-04-21 06:16:23,1.0
2011-04-21 06:16:27,1.0
2011-04-21 06:16:30,1.0
2011-04-21 06:16:34,1.0
2011-04-21 06:16:37,1.0
2011-04-21 06:16:41,1.0
2011-04-21 06:16:44,1.0
2011-04-21 06:16:47,1.0
2011-04-21 06:16:51,1.0
2011-04-21 06:17:00,1.0
2011-04-21 06:17:03,1.0
2011-04-21 06:17:07,1.0
2011-04-21 06:17:10,1.0
2011-04-21 06:17:14,1.0
2011-04-21 06:17:17,1.0
2011-04-21 06:17:20,1.0
2011-04-21 06:17:24,1.0
2011-04-21 06:17:27,1.0
2011-04-21 06:17:31,1.0
2011-04-21 06:17:34,1.0
2011-04-21 06:17:38,1.0
2011-04-21 06:17:42,1.0
2011-04-21 06:17:45,1.0
2011-04-21 06:17:49,1.0
2011-04-21 06:17:58,1.0
2011-04-21 06:18:01,1.0
2011-04-21 06:18:05,1.0
2011-04-21 06:18:08,1.0
2011-04-21 06:18:12,1.0
2011-04-21 06:18:15,1.0
2011-04-21 06:18:19,1.0
2011-04-21 06:18:22,1.0
2011-04-21 06:18:26,1.0
2011-04-21 06:18:29,1.0
2011-04-21 06:18:32,1.0
2011-04-21 06:18:36,1.0
2011-04-21 06:18:39,1.0
2011-04-21 06:18:43,1.0
2011-04-21 06:18:46,1.0
2011-04-21 06:18:50,1.0
2011-04-21 06:18:59,1.0
2011-04-21 06:19:02,1.0
2011-04-21 06:19:06,1.0
2011-04-21 06:19:09,1.0
2011-04-21 06:19:13,1.0
2011-04-21 06:19:16,1.0
2011-04-21 06:19:20,1.0
2011-04-21 06:19:23,1.0
2011-04-21 06:19:26,1.0
2011-04-21 06:19:30,1.0
2011-04-21 06:19:33,1.0
2011-04-21 06:19:37,1.0
2011-04-21 06:19:40,1.0
2011-04-21 06:19:44,1.0
2011-04-21 06:19:47,1.0
2011-04-21 06:19:51,1.0
2011-04-21 06:19:59,1.0
2011-04-21 06:20:03,1.0
2011-04-21 06:20:06,1.0
2011-04-21 06:20:10,1.0
2011-04-21 06:20:13,1.0
2011-04-21 06:20:17,1.0
2011-04-21 06:20:20,1.0
2011-04-21 06:20:23,1.0
2011-04-21 06:20:27,1.0
2011-04-21 06:20:30,1.0
2011-04-21 06:20:34,1.0
2011-04-21 06:20:37,1.0
2011-04-21 06:20:41,1.0
2011-04-21 06:20:44,1.0
2011-04-21 06:20:47,1.0
2011-04-21 06:20:51,1.0
2011-04-21 06:20:59,1.0
2011-04-21 06:21:03,1.0
2011-04-21 06:21:06,1.0
2011-04-21 06:21:10,1.0
2011-04-21 06:21:14,1.0
2011-04-21 06:21:17,1.0
2011-04-21 06:21:20,1.0
2011-04-21 06:21:24,1.0
2011-04-21 06:21:27,1.0
2011-04-21 06:21:31,1.0
2011-04-21 06:21:34,1.0
2011-04-21 06:21:38,1.0
2011-04-21 06:21:41,1.0
2011-04-21 06:21:45,1.0
2011-04-21 06:21:48,1.0
2011-04-21 06:21:57,1.0
2011-04-21 06:22:00,1.0
2011-04-21 06:22:04,1.0
2011-04-21 06:22:07,1.0
2011-04-21 06:22:11,1.0
2011-04-21 06:22:14,1.0
2011-04-21 06:22:17,1.0
2011-04-21 06:22:21,1.0
2011-04-21 06:22:24,1.0
2011-04-21 06:22:28,1.0
2011-04-21 06:22:31,1.0
2011-04-21 06:22:35,1.0
2011-04-21 06:22:38,1.0
2011-04-21 06:22:42,1.0
2011-04-21 06:22:45,1.0
2011-04-21 06:22:48,1.0
2011-04-21 06:22:57,1.0
2011-04-21 06:23:01,1.0
