,active
2011-04-18 09:00:00-04:00,5.9882355
2011-04-18 10:00:00-04:00,140.91904
2011-04-18 11:00:00-04:00,123.03688
2011-04-18 12:00:00-04:00,58.229366
2011-04-18 13:00:00-04:00,51.312706
2011-04-18 14:00:00-04:00,53.49135
2011-04-18 15:00:00-04:00,65.828415
2011-04-18 16:00:00-04:00,58.244724
2011-04-18 17:00:00-04:00,68.16702
2011-04-18 18:00:00-04:00,59.299156
2011-04-18 19:00:00-04:00,6.1263156
2011-04-18 20:00:00-04:00,73.0765
2011-04-18 21:00:00-04:00,60.17735
2011-04-18 22:00:00-04:00,25.080967
2011-04-18 23:00:00-04:00,63.96931
2011-04-19 00:00:00-04:00,60.766315
2011-04-19 01:00:00-04:00,52.55579
2011-04-19 02:00:00-04:00,42.076843
2011-04-19 03:00:00-04:00,48.399788
2011-04-19 04:00:00-04:00,20.243414
2011-04-19 05:00:00-04:00,53.5531
2011-04-19 06:00:00-04:00,50.321053
2011-04-19 07:00:00-04:00,59.868923
2011-04-19 08:00:00-04:00,56.39579
2011-04-19 09:00:00-04:00,57.54958
2011-04-19 10:00:00-04:00,49.77684
2011-04-19 11:00:00-04:00,16.534737
2011-04-19 12:00:00-04:00,48.611465
2011-04-19 13:00:00-04:00,49.38316
2011-04-19 14:00:00-04:00,57.011578
2011-04-19 15:00:00-04:00,49.638947
2011-04-19 16:00:00-04:00,51.412632
2011-04-19 17:00:00-04:00,53.736008
2011-04-19 18:00:00-04:00,65.82961
2011-04-19 19:00:00-04:00,
2011-04-19 20:00:00-04:00,77.160065
2011-04-19 21:00:00-04:00,29.933474
2011-04-19 22:00:00-04:00,36.07579
2011-04-19 23:00:00-04:00,46.093784
2011-04-20 00:00:00-04:00,50.961052
2011-04-20 01:00:00-04:00,50.02894
2011-04-20 02:00:00-04:00,142.67165
2011-04-20 03:00:00-04:00,114.58254
2011-04-20 04:00:00-04:00,60.756844
2011-04-20 05:00:00-04:00,47.143158
2011-04-20 06:00:00-04:00,49.97667
2011-04-20 07:00:00-04:00,51.49631
2011-04-20 08:00:00-04:00,49.616932
2011-04-20 09:00:00-04:00,19.87486
2011-04-20 10:00:00-04:00,43.483944
2011-04-20 11:00:00-04:00,50.009945
2011-04-20 12:00:00-04:00,52.079384
2011-04-20 13:00:00-04:00,51.049667
2011-04-20 14:00:00-04:00,52.00221
2011-04-20 15:00:00-04:00,50.42968
2011-04-20 16:00:00-04:00,40.841286
2011-04-20 17:00:00-04:00,60.36316
2011-04-20 18:00:00-04:00,23.911673
2011-04-20 19:00:00-04:00,35.05169
2011-04-20 20:00:00-04:00,53.186317
2011-04-20 21:00:00-04:00,53.21263
2011-04-20 22:00:00-04:00,51.71158
2011-04-20 23:00:00-04:00,53.397896
2011-04-21 00:00:00-04:00,52.673683
2011-04-21 01:00:00-04:00,33.194736
2011-04-21 02:00:00-04:00,23.700315
2011-04-21 03:00:00-04:00,50.93256
2011-04-21 04:00:00-04:00,52.637222
2011-04-21 05:00:00-04:00,49.482105
2011-04-21 06:00:00-04:00,51.06808
2011-04-21 07:00:00-04:00,51.197243
2011-04-21 08:00:00-04:00,53.78902
2011-04-21 09:00:00-04:00,46.172756
2011-04-21 10:00:00-04:00,15.1687155
2011-04-21 11:00:00-04:00,56.16097
2011-04-21 12:00:00-04:00,53.7947
2011-04-21 13:00:00-04:00,55.628445
2011-04-21 14:00:00-04:00,54.14884
2011-04-21 15:00:00-04:00,52.26154
2011-04-21 16:00:00-04:00,53.350605
2011-04-21 17:00:00-04:00,6.2935915
2011-04-21 18:00:00-04:00,
2011-04-21 19:00:00-04:00,6.4013605
2011-04-21 20:00:00-04:00,51.65962
2011-04-21 21:00:00-04:00,56.42
2011-04-21 22:00:00-04:00,103.04521
2011-04-21 23:00:00-04:00,121.994736
2011-04-22 00:00:00-04:00,56.72421
2011-04-22 01:00:00-04:00,46.290527
2011-04-22 02:00:00-04:00,47.44
2011-04-22 03:00:00-04:00,48.44421
2011-04-22 04:00:00-04:00,44.702106
2011-04-22 05:00:00-04:00,10.816842
2011-04-22 06:00:00-04:00,57.234608
2011-04-22 07:00:00-04:00,30.163158
2011-04-22 08:00:00-04:00,54.813683
2011-04-22 09:00:00-04:00,47.171066
2011-04-22 10:00:00-04:00,51.664124
2011-04-22 11:00:00-04:00,54.465782
2011-04-22 12:00:00-04:00,50.119335
2011-04-22 13:00:00-04:00,15.986577
2011-04-22 14:00:00-04:00,48.99668
2011-04-22 15:00:00-04:00,46.627754
2011-04-22 16:00:00-04:00,55.40839
2011-04-22 17:00:00-04:00,51.94371
2011-04-22 18:00:00-04:00,55.92723
2011-04-22 19:00:00-04:00,31.278088
2011-04-22 20:00:00-04:00,53.48287
