,active
2011-05-21 15:00:00-04:00,22.05983
2011-05-21 16:00:00-04:00,86.31442
2011-05-21 17:00:00-04:00,96.27097
2011-05-21 18:00:00-04:00,79.139
2011-05-21 19:00:00-04:00,53.91794
2011-05-21 20:00:00-04:00,51.83143
2011-05-21 21:00:00-04:00,60.71185
2011-05-21 22:00:00-04:00,99.65023
2011-05-21 23:00:00-04:00,87.006546
2011-05-22 00:00:00-04:00,48.84104
2011-05-22 01:00:00-04:00,46.10832
2011-05-22 02:00:00-04:00,64.54203
2011-05-22 03:00:00-04:00,74.369865
2011-05-22 04:00:00-04:00,
2011-05-22 05:00:00-04:00,
2011-05-22 06:00:00-04:00,
2011-05-22 07:00:00-04:00,
2011-05-22 08:00:00-04:00,
2011-05-22 09:00:00-04:00,
2011-05-22 10:00:00-04:00,
2011-05-22 11:00:00-04:00,
2011-05-22 12:00:00-04:00,
2011-05-22 13:00:00-04:00,
2011-05-22 14:00:00-04:00,
2011-05-22 15:00:00-04:00,
2011-05-22 16:00:00-04:00,
2011-05-22 17:00:00-04:00,
2011-05-22 18:00:00-04:00,
2011-05-22 19:00:00-04:00,
2011-05-22 20:00:00-04:00,
2011-05-22 21:00:00-04:00,
2011-05-22 22:00:00-04:00,
2011-05-22 23:00:00-04:00,
2011-05-23 00:00:00-04:00,
2011-05-23 01:00:00-04:00,
2011-05-23 02:00:00-04:00,
2011-05-23 03:00:00-04:00,
2011-05-23 04:00:00-04:00,
2011-05-23 05:00:00-04:00,
2011-05-23 06:00:00-04:00,
2011-05-23 07:00:00-04:00,
2011-05-23 08:00:00-04:00,
2011-05-23 09:00:00-04:00,
2011-05-23 10:00:00-04:00,
2011-05-23 11:00:00-04:00,
2011-05-23 12:00:00-04:00,
2011-05-23 13:00:00-04:00,
2011-05-23 14:00:00-04:00,
2011-05-23 15:00:00-04:00,
2011-05-23 16:00:00-04:00,
2011-05-23 17:00:00-04:00,
2011-05-23 18:00:00-04:00,
2011-05-23 19:00:00-04:00,
2011-05-23 20:00:00-04:00,
2011-05-23 21:00:00-04:00,
2011-05-23 22:00:00-04:00,162.7449
2011-05-23 23:00:00-04:00,53.664143
2011-05-24 00:00:00-04:00,76.40415
2011-05-24 01:00:00-04:00,78.73404
2011-05-24 02:00:00-04:00,75.84653
2011-05-24 03:00:00-04:00,74.57226
2011-05-24 04:00:00-04:00,62.20116
2011-05-24 05:00:00-04:00,56.010628
2011-05-24 06:00:00-04:00,53.09671
2011-05-24 07:00:00-04:00,66.39962
2011-05-24 08:00:00-04:00,95.13014
2011-05-24 09:00:00-04:00,83.56244
2011-05-24 10:00:00-04:00,77.030914
2011-05-24 11:00:00-04:00,53.252174
2011-05-24 12:00:00-04:00,56.57996
2011-05-24 13:00:00-04:00,55.15607
2011-05-24 14:00:00-04:00,145.2645
2011-05-24 15:00:00-04:00,
2011-05-24 16:00:00-04:00,
2011-05-24 17:00:00-04:00,
2011-05-24 18:00:00-04:00,
2011-05-24 19:00:00-04:00,
2011-05-24 20:00:00-04:00,
2011-05-24 21:00:00-04:00,
2011-05-24 22:00:00-04:00,157.76741
2011-05-24 23:00:00-04:00,153.39633
2011-05-25 00:00:00-04:00,67.33591
2011-05-25 01:00:00-04:00,72.159424
2011-05-25 02:00:00-04:00,89.81335
2011-05-25 03:00:00-04:00,96.48695
2011-05-25 04:00:00-04:00,90.76544
2011-05-25 05:00:00-04:00,61.09179
2011-05-25 06:00:00-04:00,101.42165
2011-05-25 07:00:00-04:00,92.30226
